Player,Year,Fee,From Club,To Club,,,,Player 2,Year 2,Highest Fee in Euros,From Club 2,To Club 2,,,,Year-Month,Max val,Year,Highest_Val
Neymar,2017,222000000,Barcelona , PSG,,,,Enzo Fernandez,2023,121000000,Benfica , Chelsea,,,,2008-01,20000000,2008,60000000
Kylian Mbappe,2017,180000000,Monaco , PSG,,,,Antony,2022,100000000,Ajax , Manchester United,,,,2008-02,55000000,2009,70000000
Joao Felix,2019,126000000,Benfica , Atletico Madrid,,,,Jack Grealish,2021,117000000,Aston Villa , Manchester City,,,,2008-03,20000000,2010,100000000
Enzo Fernandez,2023,121000000,Benfica , Chelsea,,,,Arthur Melo,2020,82000000,Barcelona , Juventus,,,,2008-04,55000000,2011,100000000
Philippe Coutinho,2018,160000000,Liverpool , Barcelona,,,,Eden Hazard,2019,140000000,Chelsea , Real Madrid,,,,2008-05,23000000,2012,120000000
Antoine Griezmann,2019,120000000,Atletico Madrid , Barcelona,,,,Philippe Coutinho,2018,160000000,Liverpool , Barcelona,,,,2008-06,60000000,2013,120000000
Jack Grealish,2021,117000000,Aston Villa , Manchester City,,,,Neymar,2017,222000000,Barcelona , PSG,,,,2008-07,55000000,2014,120000000
Romelu Lukaku,2021,115000000,Inter , Chelsea,,,,Paul Pogba,2016,105000000,Juventus , Manchester United,,,,2008-08,26000000,2015,120000000
Ousmane Dembele,2017,150000000,Borussia Dortmund , Barcelona,,,,Kevin De Bruyne,2015,75000000,Wolfsburg , Manchester City,,,,2008-09,55000000,2016,120000000
Paul Pogba,2016,105000000,Juventus , Manchester United,,,,Luis Suarez,2014,82300000,Liverpool , Barcelona,,,,2008-10,20000000,2017,150000000
Gareth Bale,2013,100800000,Tottenham , Real Madrid,,,,Gareth Bale,2013,100800000,Tottenham , Real Madrid,,,,2008-11,24000000,2018,200000000
Cristiano Ronaldo,2018,100000000,Real Madrid , Juventus,,,,Thiago Silva,2012,49000000,AC Milan,PSG,,,,2008-12,27500000,2019,200000000
Eden Hazard,2019,140000000,Chelsea , Real Madrid,,,,Fernando Torres,2011,59000000,Liverpool , Chelsea,,,,2009-01,55000000,2020,180000000
Mykhailo Mudryk,2023,100000000,Shakhtar Donetsk , Chelsea,,,,David Villa,2010,40000000,Valencia ,Barcelona,,,,2009-02,46000000,2021,160000000
Antony,2022,100000000,Ajax , Manchester United,,,,Cristiano Ronaldo,2009,94000000,Manchester United , Real Madrid,,,,2009-03,26000000,2022,180000000
Cristiano Ronaldo,2009,94000000,Manchester United , Real Madrid,,,,Robinho,2008,32500000,Real Madrid,Manchester City,,,,2009-04,60000000,2023,180000000
Gonzalo Higuain,2016,90000000,Napoli , Juventus,,,,,,,,,,,,2009-05,29000000,,
Harry Maguire,2019,87100000,Leicester City , Manchester United,,,,,,,,,,,,2009-06,50000000,,
Neymar,2013,86200000,Santos , Barcelona,,,,,,,,,,,,2009-07,70000000,,
Jadon Sancho,2021,85000000,Borussia Dortmund , Manchester United,,,,,,,,,,,,2009-08,45000000,,
Romelu Lukaku,2017,84800000,Everton , Manchester United,,,,,,,,,,,,2009-09,17000000,,
