name,last_season,Nationality,date_of_birth,Position,Market Value,League,,,,,,
Karim Benzema,2022,France,19/12/1987,Attack,25000000,ES1,,,,,,
Óscar Trejo,2022,Argentina,26/4/1988,Midfield,3000000,ES1,,,,,,
Jessy Moulin,2022,France,13/1/1986,Goalkeeper,200000,FR1,,,,,,
Diego Alves,2022,Brazil,24/6/1985,Goalkeeper,300000,ES1,,,,,,
Federico Fazio,2022,Argentina,17/3/1987,Defender,400000,IT1,,,,,,
Ángel Di María,2022,Argentina,14/2/1988,Attack,8000000,IT1,,,,,,
Samuel Di Carmine,2022,Italy,29/9/1988,Attack,350000,IT1,,,,,,
André Ayew,2022,Ghana,17/12/1989,Attack,1800000,GB1,,,,,,
Aleksandar Mitrović,2022,Serbia,16/9/1994,Attack,28000000,GB1,,,,,,
Danilo D'Ambrosio,2022,Italy,9/9/1988,Defender,1500000,IT1,,,,,,
David Alaba,2022,Austria,24/6/1992,Defender,40000000,ES1,,,,,,
Roberto Soriano,2022,Italy,8/2/1991,Midfield,2500000,IT1,,,,,,
Bernardo Espinosa,2022,Colombia,11/7/1989,Defender,1500000,ES1,,,,,,
Pedro,2022,Spain,28/7/1987,Attack,1500000,IT1,,,,,,
Juan Cala,2022,,26/11/1989,Defender,600000,ES1,,,,,,
Nélson Oliveira,2022,Portugal,8/8/1991,Attack,1200000,GR1,,,,,,
Nemanja Matic,2022,,1/8/1988,Midfield,4000000,IT1,,,,,,
Eiji Kawashima,2022,Japan,20/3/1983,Goalkeeper,150000,FR1,,,,,,
Nathaniel Clyne,2022,,5/4/1991,Defender,2000000,GB1,,,,,,
Antonio Rüdiger,2022,Germany,3/3/1993,Defender,32000000,ES1,,,,,,
James Rodríguez,2022,,12/7/1991,Midfield,6000000,GR1,,,,,,
Karl Darlow,2022,England,8/10/1990,Goalkeeper,1000000,GB1,,,,,,
Tiquinho Soares,2022,Brazil,17/1/1991,Attack,4000000,GR1,,,,,,
Marcel Sabitzer,2022,Austria,17/3/1994,Midfield,20000000,GB1,,,,,,
Stefan Savic,2022,Montenegro,8/1/1991,Defender,6000000,ES1,,,,,,
Jed Steer,2022,England,23/9/1992,Goalkeeper,500000,GB1,,,,,,
Koray Günter,2022,Germany,16/8/1994,Defender,3500000,IT1,,,,,,
